Season,Episode,Character,Line
21,1,Cartman,"Okay, okay, okay, okay, okay, let's try this one: Alexa, add ""big hairy balls"" to my shopping list.
"
21,1,Alexa," Okay, I've added ""big hairy balls"" to your shopping list. 
"
21,1,Butters,"Okay,  Alexa, add ""smelly tampon boogers"" to my shopping list.
"
21,1,Alexa,"I've added ""smelly tampon boogers"" to your shopping list. 
"
21,1,Cartman,"Alexa, Simon says ""I got vagina crabs in my butthole.""
"
21,1,Alexa,"I got vagina crabs in my butthole. 
"
21,1,Ike,"Alexa, Simon says, ""I gotta take a stinky poop.""
"
21,1,Alexa,"I gotta take a stinky poop. 
"
21,1,Cartman,"That's the best one yet!  Oh, you guys! I swear this is the greatest thing ever! You do one, Tolkien! 
"
21,1,Heidi,"Hey, babe, what's up? 
"
21,1,Cartman," Oh, hey, babe, what's goin' on?
"
21,1,Heidi,"What are you doing?
"
21,1,Cartman,"Nnnothing, I'm just having fun with my friends. Is that, is that okay? 
"
21,1,Heidi,"What are you pissed off about?
"
21,1,Cartman,"Ugh, I'm not pissed off, I'm just hanging out.
"
21,1,Heidi," So you're just gonna be passive-aggressive again and not talk about what you're feeling?
"
21,1,Stan,"Uhwell, I think uhh, I think I got some stuff to do at home. 
"
21,1,Kyle,"Yup. Uhh, come on, Ike.
"
21,1,Clyde,"We got Google Home at my house.
"
21,1,Cartman," Aw guys, guys, don't leave, guys! Everything's kewl!
"
21,1,Jimmy,"W-we'll see you later, man. G-g'm, good luck. 
"
21,1,Cartman," Awesome. Thanks for coming in and bitching me out in front of all the guys.
"
21,1,Heidi," You were clearly mad about something. You should just tell me when you're mad.
"
21,1,Cartman,"Just like you tell me what you're mad about every single day.
"
21,1,Heidi,"Why do you act like this all the time?
"
21,1,Cartman,"Uuugh. 
"
21,1,Heidi,"You were the one who was pissed off, you're the one being passive-aggressive again!
"
21,1,Cartman,"Uuugh! 
"
21,1,Heidi,"Because you don't know how to talk about how you're feeling! 
"
21,1,Cartman,"Alexa, add ""titty chips"" to my shopping list.
"
21,1,Alexa,"I've added ""titty chips"" to your shopping list. 
"
21,1,Darryl,"Look at 'em. Every day, people are buyin' more an' more of them Amazon and Google thingies while we all sit here an'  lose our jobs!
"
21,1,Eddie,"It ain't right.
"
21,1,Darryl,"Automated personal assistants, self-drivin' trucks, whatever happened to people jobs?!
"
21,1,Cleetus,"They took our jobs! 
"
21,1,Darryl," They took our jubs! And it's time for us to band together and take to the streets to say ""We ain't gonna take it no more!""  Now let's get out there and protest that Alexa took our jobs!
"
21,1,Alexa,"Now playing ""Turk Our Durr"" by Joni Mitchell. 
"
21,1,Darryl,"No, not Joni Mitchell - ""Turk Our Durr"", you took our durbs!
"
21,1,Randy,"There's been a lot of hurting in our country lately.  You can either be part of the solution, or part of the problem.  A few months ago my wife Sharon and I  decided to be part of the solution...  by remodeling and flipping houses for people all over our town!  Flipping houses is fun, but never easy.  We enjoy turning people's dreams into reality. 
"
21,1,Sharon,"I'm Sharon Marsh and I do the designing and decorating. 
"
21,1,Randy,"And I'm her husband Randy. I do the construction and practice MMA in my spare time. 
"
21,1,Sharon,"We renovated over 45 homes  in Park County, Colorado. 
"
21,1,Randy," What we're thinking is to take out the wall between the kitchen and living room for a more open concept.
"
21,1,Randy," Our job is to deliver the maximum wow factor for the least amount of budget.  there's never a dull moment.
"
21,1,Randy," So guys, are you ready to see your renovation?!
"
21,1,Randy," On White People Renovating Houses.
"
21,1,Randy," Janet and Dave Fitzsimmons are looking to move from their dated two-story colonial home.
"
21,1,Randy,"What we're thinking here is taking out the wall between the kitchen and living room to give you an ""open concept"". Then we'll give you lots of space to entertain with an updated kitchen island and bar stool.  With...  What the hell is that?
"
21,1,Protesters,"You! Will not! Replace us! You! Will not! Replace us! 
"
21,1,Darryl,"Amazon!
"
21,1,Protesters,"You took our jobs!
"
21,1,Darryl,"Google! Apple!
"
21,1,Protesters,"Took our jobs!
"
21,1,Randy," Uh, excuse me!  What the hell are you doing?
"
21,1,Darryl,"We're protestin' big corporations turning to automation!
"
21,1,A Protester,"They took our jobs!
"
21,1,Protesters,"Yeah! They took our jobs!
"
21,1,Randy,"'Kay, cool. Could you do that somewhere else? Tryin' to do a home renovation show here. Cool, thanks, guys. 
"
21,1,Darryl,"A home reno-what?
"
21,1,Cartman,"Alexa, set an alarm for 7 AM.
"
