Season,Episode,Character,Line
23,1,Randy," Some people like their weed made the old-fashioned way.  Here at Tegridy, we believe weed is about people.  Over the past few months, Tegridy has expanded from the simple farmhouse you see behind me to actually owning the entire 420 Valley. And I think you'll see on this tour that even though our business has grown, we just kept our weed simple.  It takes over a thousand plants to make just one box of Tegridy Weed.  There's Juan Carlos over there; he's one of our newest employees.  'Mornin' Juan Carlos!  What happens when you combine science... with Tegridy? A lot of magic. Here you can see our latest growing methods along with our science center.  And of course, it wouldn't be Colorado weed without our Rocky Mountain High tasting room. Feel free to come back here later and try all our... Tegridy products.  Well, folks, we hope you enjoyed your tour. There's a lot to buy here in the gift shop and, please, do remember, your tour guides work on tips. Let's give me a big hand. 
"
23,1,Cartman,"This sucks balls. Ever since you guys moved, everything just keeps changing. I mean, how are all us kids supposed to have any hope anymore? All I think about is all the problems our generation is inheriting: climate change, overfishing, Kyle. I mean, how are we supposed to get happy about anything?  Hey there, Stan. You input all the weed orders?
"
23,1,Stan,"Yeah, it's all right here.
"
23,1,Randy,"Ah, hahah-uhl, oh.  Looks like our orders are actually... down. You sure you did that right?
"
23,1,Stan,"Yeah, I went through it twice. People aren't ordering as much as last month.
"
23,1,Randy,"Not ordering as much? Why... what the hell is going on?
"
23,1,Stephen,"Oh, hey, Randy.
"
23,1,Randy," Howdy, Stephen. How've you been gettin' on?
"
23,1,Stephen,"Good. How's life in the Valley been treatin' ya?
"
23,1,Randy,"Oh, it's early mornin's and lots of hard work, but, gotta do what's best for my young 'uns. I've noticed you haven't supplied up in a while, Stephen, so I thought I'd deliver your weed to you personally.
"
23,1,Stephen,"Oh... yeah, no , I... actually... hadn't ordered any in a while.
"
23,1,Randy,"Why not? You're not gettin' all sober on us, are ya?
"
23,1,Stephen,"No. Well... here, let me show you.  What do you think?  I started growing my own plants a couple of weeks ago. I totally get it. It's a really fun hobby. That's Diego, my gardener.
"
23,1,Randy,"Ohhh he, haha, hey... fuck you.
"
23,1,Stephen,"What?
"
23,1,Randy,"My weed not good enough for ya? Something wrong with Tegridy?
"
23,1,Stephen,"No, I just started kinda getting into it. I just enjoy the whole-
"
23,1,Randy,"You're stealing my idea Stephen!
"
23,1,Stephen,"Come on, growing marijuana is not your idea.
"
23,1,Randy,"Yeah-huh! While you assholes were all screwing around, I went out and made a living! When you grow your own pot, you're taking weed out of my children's mouths!
"
23,1,Mr. Mackey," Oh hey, guys. Sorry, the front door was open, so I just walked on in. Seein' if I could still get those seeds from ya, Stephen?
"
23,1,Randy," What seeds?!
"
23,1,Mr. Mackey,"Oh, I was gonna try my hand at growin' some weed and Stephen said he'd give me some seeds to get started.
"
23,1,Randy," FUUUCK YOU GUYS!  I'll get you for this, Stephen! You mess with my Tegridy, and I'm gonna mess with you! 
"
23,1,Clerk 1,"You alright there, partner?
"
23,1,Cartman,"Kids are being handed a world that's broken and sick. We aren't the ones who messed this planet up, but we're the ones who will pay the price.
"
23,1,Clerk 1,"Okay, you have a nice day. 
"
23,1,Diego,"¡Por favor no! ¡Por favor! Nomás quiero trabajar! 
"
23,1,Stephen,"This is inhumane! Diego is my gardener!
"
23,1,Cartman," What's going on?
"
23,1,Agent 1,"This is an ICE raid, son. You need to keep back.
"
23,1,Agent 2,"Put him in my car. 
"
23,1,Cartman,"What did that guy do?
"
23,1,Agent 1,"Somebody called in an anonymous tip that he might be here illegally.
"
23,1,Esposa,"¡No! ¡No te lo puedes llevar! ¡Es mi esposo! ¡Mi esposo!  
"
23,1,Girl,"Papa! Papa, no! Papa!
"
23,1,Agent 3,"Wife goes in the van, kids can go with Donovan. 
"
23,1,Stephen,"Who called you people?! It was Randy Marsh, wasn't it?!
"
23,1,Agent 1,"We're just doin' our job, sir. If the family checks out, we'll release them from their detention centers.
"
23,1,Cartman,"Detention centers?  Well, this is nice! When did we start doing this?
"
23,1,Agent 4," Kids go to LS22.
"
23,1,Cartman,"So anyone can make an anonymous tip and you can round up families and send them away? Nobody told me about this! I thought everything sucked now! Do you have a card?
"
23,1,Kyle,"What do you want?
"
23,1,Cartman,"Do you remember last week you called me a butthole in front of Suzie Tobler?
"
23,1,Kyle,"Yeah, 'cause you were gonna snap her bra.
"
23,1,Cartman,"I want you to apologize for every time you've been a dick to me, Kyle.
"
23,1,Kyle,"Fuck you.
"
23,1,Cartman,"Oh! Are you sure you don't want to take that back? Uh-okay Kyle. Just remember, I gave you a chance. 
"
23,1,Kyle,"Are you done now? Can I hang up? 
"
23,1,Agent 2,"220. We've breached the front door.
"
23,1,Kyle,"Hello?
"
23,1,Ike,"Mommy! Mommy!
"
23,1,Gerald," Excuse me, what is going on? 
"
23,1,Agent 5,"640. On the first floor. 
"
23,1,Sheila,"Who are you people?
"
23,1,Agent 3,"We're ICE, ma'am.
"
23,1,Gerald,"We're American citizens!
"
23,1,Agent 5,"Just doin' our job, sir. If you check out, you'll be released from the detention centers.
"
23,1,Gerald,"Get the fuck out of my house! 
"
23,1,Kyle,"Mom! Dad!
"
23,1,Gerald,"This is ridiculous! You can't take our children away from us!
"
23,1,Cartman," That's so sweet.
"
23,1,Agent 2,"You guys take the parents, we'll take the kids. 
"
23,1,Agent 1," Come on, you! 
"
23,1,Sheila,"NO! You will not take my children from me!
"
23,1,Cartman,"Ha ha. No way. 
"
23,1,Gerald,"I-I'm telling you, I just don't know where our passports are!
"
23,1,Agent 3,"Then we have to detain you. If you're legal, you can sort it all out on Monday.
"
23,1,Sheila,"Monday?! 
"
23,1,Kyle,"Goddamit, Cartman!
"
23,1,Sheila,"Ike!  YOU CAN'T DO THIS! 
"
23,1,Stan," What happened to our country? People are being wronged by a broken system, and we must say ""NO MORE."" No more homegrown marijuana.
"
23,1,Randy," Yeah, that's right! Yeah, that's right. Me too. Yeah, that's right!
"
23,1,Stan,"As the son of a proud American farmer, I am concerned about what homegrown can lead to. People can grow weed wrong and poison themselves. What?
"
23,1,Randy,"Yeah, that's right. Yeah! Come on!
"
23,1,Stan,"Unscrupulous growers could use cheap irrigation and drown babies. Oh, come on.
"
23,1,Randy,"That's right. Drown babies, yeah. Drown babies, that's right. Drown babies.
"
23,1,Stan,"The fact is simple. Marijuana must be grown with Tegridy.
"
23,1,Randy,"Tegridy.
"
23,1,Stan," Tegridy.
"
23,1,Randy," Stupid government! How can they sit there and look a child in the face and it's fine for people to grow their own weed?!
"
23,1,Towelie," Oh, why does it matter?
"
23,1,Randy,"Why does it? Ugh! Am I the only person here who understands what this will do to us?!
"
23,1,Stan,"Yeah, but Dad, you're gonna piss off everybody in South Park.
"
23,1,Randy,"You know what? Fuck South Park!
"
23,1,Towelie,"Fuck South Park?
"
23,1,Randy,"Yeah, I'm sick it! I'm just- I'm done! I don't give two shits about South Park! All that matters is Tegridy Farms now!
"
23,1,Towelie,"... I don't know if you wanna say ""Fuck South Park.""
"
23,1,Jeff,"Good day, children. My name is Jeff.
"
23,1,David,"Buenos días, niños. Me llamo Jefe. 
"
23,1,Jeff,"We know you've been separated from your families.
"
23,1,David,"Tu familia no está aquí, Es triste. Tu kri. Tu kri. 
"
23,1,Jeff,"But we want you to get a little excited about the fun we have in store for you.
"
23,1,David,"Aquí es mervilosa! Divértida!  
"
23,1,Jeff,"Everyone, please take your own piece of aluminum foil.
"
23,1,David,"Papél de aluminió, por favor.  
"
23,1,Rodgers,"All new kids, el nombre . Line up and announce when your name is read. Martinez!
"
23,1,Martinez,"Aquí. 
"
23,1,Rodgers,"Aguilar?
"
23,1,Aguilar,"Aquí. 
"
23,1,Rodgers,"Broflovski?
"
23,1,Kyle,"Here! 
"
23,1,David,"Broflovski - is, is that an El Salvadorean name?
"
23,1,Kyle,"No, I'm Jewish. 
"
23,1,Jeff,"What?! How did a Jew get in here?
"
23,1,Kyle,"I'm just here because some fat intolerant asshole didn't want me around!
"
23,1,Boy,"Yeah, that's why I'm here too.
"
23,1,Girl,"Yeah, me too.
"
23,1,Jeff,"Oh boy, we've gotta get this kid out of here.  People might think we're racist.
"
23,1,Randy,"Ah, sorry, tours at 11 and 2, and 4:20.
"
23,1,Bigwig 1,"Oh, we're not here for a tour, we represent a billion-dollar marijuana company.
"
23,1,Randy,"Ohh, I told you rich, big-city folk before: You can't buy Tegridy!
"
23,1,Bigwig 1,"You seem to be fighting the same fight we are. We just wanna help you.  Ever heard of Med Men?
"
23,1,Randy,"Yeah, I think so.  What do you want with me?
"
23,1,Bigwig 1,"Well, we have a common problem.  Homegrown weed.
"
23,1,Bigwig 2," We're just worried about safety, you know?  Babies drowning in irrigation and such.
"
23,1,Randy," Yeah, I hate watching babies drown.  Seems like a waste of a good baby. 
"
23,1,Bigwig 1,"We're glad you agree.  Now what-? 
"
23,1,Randy,"So you guys wanna team up and piggyback on the goodwill of the legalization movement for some good old-fashioned crony capitalism? I'm totally in. 
"
23,1,Jeff,"Sorry for our little mistake. We're goin' to get you on your way home as soon as we can.
"
23,1,Kyle,"What about all the other kids? When do they get to go home?
"
23,1,Jeff,"Hey. When it's raining, you gotta roll up the windows. We understand these things are hard for your people.
"
23,1,Kyle,"My people? Aren't you worried about what you're creating here?!
"
23,1,Jeff,"What do you mean?
"
23,1,Kyle,"You're pulling children away from their parents and isolating them behind bars.
"
23,1,Jeff,"Yes.
"
23,1,Kyle,"You're traumatizing them and teaching them to fear the U.S. government.
"
23,1,Jeff,"Correct.
"
23,1,Kyle,"Okay, let me try to put this in terms you people will understand. You know superhero movies, right?
"
23,1,David," Yeah!
"
23,1,Kyle,"Okay. You remember how they always create the villain? Some random person who, when they were a child, got taken from their parents and locked away? And the kid was just left to sit and plot revenge? What you're doing here is creating a Mexican Joker!  And what's a Mexican Joker gonna do? He's gonna grow up and have memories of being wronged by you, and he will grow and wait, and then finally  fight back with a passion unlike anything you've ever seen!
"
23,1,Jeff,"Which one of them do you think is Mexican Joker?
"
23,1,Kyle,"No, it could be any of them! That's the point! You don't know which kid in there is gonna snap from being separated and locked down like this!
"
23,1,David,"But... Doesn't Mexican Joker understand that we're just doing our job and making America great?
"
23,1,Kyle,"Mexican Joker doesn't care! When that kid grows up, all that will matter is getting back at all of you!
"
23,1,David,"Well, what would Mexican Joker-
"
23,1,Jeff,"Hey David, can I talk to you alone, please. Excuse us, kid.  Now then, the most important thing is that we've got to keep this quiet! We can't let Mexican Joker know that we're onto him.
"
23,1,David,"I don't wanna be part of a bad guy flashback scene. Maybe we should get kids out of here.
"
23,1,Jeff,"Now, listen: that's just what he wants us to do.
"
23,1,David,"What are you saying?
"
23,1,Jeff,"Im saying, what if he's on Mexican Joker's side? 
"
23,1,Towelie," Hey Randy, did you go make a deal with another weed company?
"
23,1,Randy,"Yes, Towelie. I'm working on a merger with Med Men.
"
23,1,Towelie,"Med Men? But, those guys are posers.
"
23,1,Randy,"We have a deal in the works to help each other put a stop to home-growers once and for all.
"
23,1,Towelie,"Jesus... You know, I knew a guy who thought weed should be for everybody. A guy who believed in integrity. I don't understand who you even are anymore.
"
23,1,Randy,"That's because I'm the president of the company, and YOU are a TOWEL!
"
23,1,Towelie,"YOU're a towel!
"
23,1,Randy,"What is wrong with trying to protect our business? 
"
23,1,Towelie," Because weed isn't supposed to be some money-grubbin' business model! It's a gift from God! And not something to exploited by some stupid towel! 
"
23,1,Randy,"I AM NOT A TOWEL!
"
23,1,Towelie," Yeah. Yeah, sure thing, Randy. You are not a towel. 
"
23,1,Princess Star,"My name is Princess Star, for I shine like all the stars in the night sky.
"
23,1,Jeff,"Kids, let's all say hi to Princess Star!
"
23,1,David,"Hi, Princess Star.
"
23,1,Mexican Joker,"Ha ha ha haa! It's me, Mexican Jokerrrrr!
"
23,1,Jeff,"Oh no! Everyone boo Mexican Joker, kids! Boooo!
"
23,1,David,"Boooo!
"
23,1,Mexican Joker,"I'm filled with anger and rage for what happened to me as a child! So now I will kill and rape you all!
"
23,1,Princess Star,"But Mexican Joker, you forget the magic word: Forgiveness. 
"
23,1,Mexican Joker,"I don't care about forgiveness!
"
23,1,Princess Star,"But you are a migrant from another country. We had to protect our borders and secure our jobs.
"
23,1,Mexican Joker,"I don't care! I'm going to rape you now! 
"
23,1,Princess Star,"Oh no, no, what about forgiveness?
"
23,1,Mexican Joker,"No forgiveness! 
"
23,1,Jeff,"Boo! That's enough, Mexican Joker! Your rage and your anger have made you a bad person in the eyes of Christ. I know your life was hard as a kid, but everyone has hard times. 
"
23,1,Agent 6,"Another busload comin' in.
"
23,1,Jeff," Another busload? Oh, criminy!
"
23,1,Jeff,"Welcome, children. My name is Jeff.
"
23,1,David,"Hola niños, me llamo Jefe...  
"
23,1,Cartman,"Oh, hey Kyle.
"
23,1,Kyle,"What the fuck are you doing here?!
"
23,1,Cartman,"So weak. Jimmy pissed me off 'cause he told the teacher I was texting in class, so I told Jimmy I'd have him sent off to a migrant detention center. He didn't believe me, so I said ""Oh, I already did it to Kyle."" Stan heard that, so he got pissed off and had me sent off to a migrant detention center.
"
23,1,Kyle,"I haven't seen my parents in *two weeks*! Nobody even knows where my little brother is!
"
23,1,Cartman,"I know. I know it sucks. But we're stuck in here together. Come on, buys. All we have to do is try to make the most of it. It's a hard knock life for us.It's a hard knock life for us.
"
23,1,Clerk 2,"Hey, are you gonna buy a towel or just stare at them?
"
23,1,Randy,"I'm not a towel!
"
23,1,Clerk 2,"Go on! Get out of here! 
"
23,1,Mr. Mackey,"Yeah, you know, I think I'll just grow my own weed.
"
23,1,Stephen,"Oh yeah, I'm growin' my own weed.
"
23,1,Jimbo,"I enjoy growin' my own weed now.
"
23,1,Stephen,"I'll grow my own weed.
"
23,1,Jimbo,"My own weed.
"
23,1,Mr. Mackey,"My own weed. I'll grow my own weed.
"
23,1,Jimbo,"I enjoy growin' my own weed.
"
23,1,Stephen,"Hey, I think I'll just grow my own weed. 
"
23,1,Clerk 2," I said get out of here if you aren't buying towels! 
"
23,1,Stephen,"I'll grow my own weed.
"
23,1,Jimbo,"My own weed.
"
23,1,Stephen,"My own weed. I'll grow my own weed.
"
23,1,Jimbo,"I'll grow my own weed.
"
23,1,Stephen,"I'll grow my own weed.
"
23,1,Randy," Aaaaaaaaaaah!  Ah. Augh! Aaaaawwww!!
"
23,1,Jeff,"Hey. Hey! What the hell are you guys doin'?!
"
23,1,David,"Oh, hey Jeff. Rodgers read an article about how electroshock therapy can help people who've gone through traumatic experiences. We figured some treatments could help Mexican Joker deal with his trauma.
"
23,1,Jeff,"Are you guys completely stupid?! We can't perform shock therapy on every child that comes in here! Think of the budgetary restraints!
"
23,1,David,"To hell with the costs, Jeff! If Mexican Joker doesn't have flashbacks, then he doesn't grow up to be a monster!
"
23,1,Jeff,"What if this IS the flashback?! We might be IN the flashback, Dave! Maybe you're shocking the child that grows up to be Mexican Joker! 
"
23,1,David," Oh God! I don't know which way is up anymore!
"
23,1,Jeff,"We can't fight this guy alone, Dave. It's time to alert the military.
"
23,1,Cartman,"Don't it feel like the wind is always howlin'? Don't it seem like there's never any light? Santa never comes for me. Santa Claus no está aquí.   Aw, come on, Kyle. I know it's no fun to be in here, but you can't think about yourself. Think about the greater good.  Now, when you don't like people, you can have then taken from their families and put into camps. Why does that make you  Ohhh my God. Ohhh Jesus, Kyle. I've totally forgotten you're a... Of course, you're extra sensitive to this stuff. Oh, dude, I'm so sorry.  Oh, my God, Kyle. I didn't even make the connection, you know? I was just like, Oh, I'm gonna have Kyle thrown into a detention camp. That'll be sweet,"" and I didn't stop to think that... for you guys... it's not that sweet. Man, if I had just thought it through for like, two more minutes, I would have got you back some other way. I feel terrible, Kyle.
"
23,1,Kyle,"Wait. I have an idea how to get everyone out of here. Get everyone's aluminum foil and some scissors.
"
23,1,Cartman,"Why, Kyle? What are you gonna do with-
"
23,1,Kyle,"Just do it before I kill you!
"
23,1,Cartman,"Aluminum foil and some scissors. 
"
23,1,Husband,"That was a great dinner, honey.
"
23,1,Wife,"What do you wanna do for dessert?
"
23,1,Husband,"Hey! How about I cut us down some of our homegrown weed and we get baked?
"
23,1,Wife,"I'm in. 
"
23,1,Husband,"Is someone there?  Huh. 
"
23,1,Wife,"Jack? Everything alright?
"
23,1,Jack,"Yeah. You want a normal size, or a big fatty?  Aa-
"
23,1,Wife,"JAACK! 
"
23,1,News Anchor,"A brutal act of terror in an American town. Tonight, innocent people were attacked at their homes, in their yards, and the FBI believes they know who is responsible. The probable suspect?  Mexican Joker.  Uhuh. Yeah, that's right. Joining me now is Commander Miller of National Defense.
"
23,1,Cmdr Miller,"We've only recently learned of Mexican Joker's existence.
"
23,1,News Anchor,"Waa huhaugh.
"
23,1,Cmdr Miller,"He has no reason. He has no compassion.
"
23,1,News Anchor,"Aaagh.
"
23,1,Cmdr Miller,"Mexican Joker simply wants to invoke fear.
"
23,1,News Anchor,"Oohh!
"
23,1,Cmdr Miller,"We are advising people to stay inside!
"
23,1,News Anchor,"Uh, look. Captain, uh... Captain, what made Mexican Joker this way? Why is Mexican Joker so... filled with hate?
"
23,1,Cmdr Miller,"Well, it's most likely something that happened to him as a child. Whatever bent Mexican Joker's mind this way, it clearly happened a... long... a long time ago. 
"
23,1,Jeff,"Oh shit, it's the flashback!
"
23,1,David,"This is the flashback?!
"
23,1,Jeff,"It's the flashback! Come on! Something must be happening with the kids!  Oh Christ, look!
"
23,1,Kyle,"Shema Israel Adonai Eloheinu, Adonai ehad. 
"
23,1,Jeff,"He's converting them all to Judaism!
"
23,1,Kids,"Shema Israel Adonai Eloheinu, Adonai ehad. 
"
23,1,Jeff,"Oh Jesus, they're all Jews with their little aluminum foil yarmulkes!
"
23,1,David,"Jeff, you know what this means? Now we'll have to let them all go! This is how Mexican Joker breaks free!
"
23,1,Jeff,"Hey, that's right. It is. 
"
23,1,Cartman,"Whoa!
"
23,1,Jeff," Mexican Joker, I just want you to remember that I helped you. Jeff Corrigan. Remember, Jeff was your buddy. Now, come on! Let's go, Mexican Joker! 
"
23,1,Kyle,"Goddamnit, nobody here is Mexican Joker! That's not what I meant! The future is not set! We make decisions now that affect our future!
"
23,1,Jeff,"Nobody here is Mexican Joker?
"
23,1,Kyle,"NO!!
"
23,1,Jeff,"Oh, then I'm in the wrong flashback. 
"
23,1,Randy,"Well, gang. Looks like Tegridy Farms are turning big profits again. We're on our way to becoming the biggest weed brand in the country. I'm not getting pushed around now, you got it? So go on. Anybody here wants to call me a towel, just go ahead and do it! Go on, Sharon. Call me a towel.
"
23,1,Sharon,"Fine. You're a towel. 
"
23,1,Randy,"Best towel you ever had, bitch!
"
23,2,Randy," Stan! Family meeting! Get downstairs! 
"
23,2,Stan,"I'm writing a song, Dad.
"
23,2,Randy," Nobody cares about that! Come on! I've got big news!  Sharon! Shelly! Hurry! I've got it! 
"
23,2,Sharon,"What is it, Randy?
"
23,2,Randy,"You guys, I've just had the greatest idea ever!
"
23,2,Stan,"We're gonna move back to our old house?
"
23,2,Randy,"No! I've been trying to figure out how to make more money selling weed. And last night, it came to me. We could grow the family business by selling Tegridy... to the Chinese.  I did a little research. Turns out there's a lot of people in China. If we can get like 2% of that market to buy our weed, we'd make millions and millions of dollars! I'm flying to China tomorrow. I've got to get in on this before anyone else thinks of it. 
"
23,2,Sharon,"Tomorrow? Ugh!  Randy, are you forgetting about this Saturday?
"
23,2,Randy,"What's this Saturday?
"
23,2,Sharon,"Autumnfest? Stan's concert? He and his little friends have been rehearsing all week. A lot of people in town are coming out to support him. Everyone but you?
"
23,2,Randy,"Everyone?  Stan, you need to wear your Tegridy T-shirt at the performance.
"
23,2,Stan,"Aw, come on, Dad!
"
23,2,Randy,"Stan, they're available on Amazon starting Friday, so you could really help promote the family business while I'm gone!  But, then again, I guess family doesn't mean all that much to you. 
"
