Season,Episode,Character,Line
25,1,Mr. Garrison,"Okay, children, let's take our seats! Good morning, kids! So great to see you!  I know it's always a little hard coming back from a break. You know, you know, we've had a few distractions but let's just pick up where we left off.  Kids, over this last break, I met somebody. And, uh, I'm pretty excited. And, uh, we've been really enjoying each other's company, and, you know, things got physical. His name is Rick, and, uh, well, anyway I really wanted you to meet him, just-- you know, he's a – he's a little nervous, so just be cool, okay?  Come on, Rick. Oh, come on, you big silly, they're not gonna bite you.  Class... this is Rick.  Now, look, we're not gettin' married tomorrow or anything. We're just enjoying each other's company and seeing where this whole thing takes us.
"
25,1,Rick,"This is really awkward. I-I told you I thought this was a bad idea.
"
25,1,Mr. Garrison,"He's very shy, but I wanted you kids to know that he treats me really well. Way better than that narcissistic psychopath Marcus!
"
25,1,Rick," I-I should be going.
"
25,1,Mr. Garrison,"Okay, okay, well, you're gonna come pick me up after school?
"
25,1,Rick,"Yeah, yeah, you're done at 4:00?
"
25,1,Mr. Garrison,"I'll be ready like 3:30.  They like you. They do!  No, that's just them being them.  Okay, text me at lunch! Bye Ri-i-i-i-ick!  Oh, shit, it's Marcus! Should I answer it?!  I have to answer it. He's gonna suspect something. Just keep quiet about Rick! Don't say anything!  H-hey Marcus. What's up?  No.  I'm in the classroom with the kids. Aren't– Aren't I, kids?!  O-okay, you couldn't really hear them, but I'm with the kids. No.  Who's Rick? We've never heard of Rick, have we, kids?!  Will you fucking say something? Marcus, Marcus, I really don't– why?! Fine! Go ahead!  That's fi-fine! Okay, geez!  Well, nice going, kids. What is wrong with you?! You don't listen, and you blatantly go against my directions! 
"
25,1,PC Principal,"What's going on here, students?
"
25,1,Mr. Garrison,"I ask them for a response, and nothing! First they just sit there when I need their focus and their energy, and when I ask them–
"
25,1,PC Principal,"Hey! You kids know that these teachers are doing their very best for your benefit?!
"
25,1,Mr. Garrison,"I don't know how much more I can take of this.
"
25,1,PC Principal,"I am sick and tired of students thinking they can walk all over their teachers who gave you everything they got!
"
25,1,Mr. Garrison,"I've got enough problems as it is.
"
25,1,PC Principal,"I tell you what else. This Friday, for pajama day at school, this class does not get to wear their pajamas.  You heard me! No pajama day for this class. Now maybe you'll remember to have some respect for your teacher!
"
25,1,Cartman,"This is bullshit! They can't take our pajamas from us! Who does the principal think he is?!
"
25,1,Stan,"After everything we've been through the past couple years, they're gonna take pajama day from us, too.
"
25,1,Kyle,"We didn't even do anything wrong!
"
25,1,Cartman,"We didn't do fucking anything wrong! We keep not doing anything wrong, and we keep getting fucked!
"
25,1,Butters,"Guess that's just part of being a kid these days.
"
25,1,Tolkien,"Yup.
"
25,1,Cartman,"Whoa, whoa, whoa, wait. We are not just going to stand for this?!
"
25,1,Stan,"What else can we do, brah?
"
25,1,Cartman,"Brah, we can have some Goddamn balls! What does Matt Damon say on that Bitcoin commercial? Fortune favors the brave.
"
25,1,Clyde,"My dad says that he listened to Matt Damon and lost all his money.
"
25,1,Cartman,"Yes, everyone did. But they were brave in doing so. We have to stand up for ourselves, you guys. I say we go right to the principal's office and tell him what's up, brah. 
"
25,1,PC Principal," Yeah.
"
25,1,Woman,"Some kids want to speak with you about pajama day.
"
25,1,PC Principal,"Alright, send 'em in. 
"
25,1,Wendy,"Mr. Principal sir, can we please wear our pajamas on pajama day?
"
25,1,PC Principal,"I'm sorry, ladies. I've made a decision, and I'm sticking to it.
"
25,1,Wendy,"Mr. Principal, we really didn't do anything wrong.
"
25,1,PC Principal,"I appreciate your sentiment, but as principal of the school, it's my job to make decisions and stand by them to maintain order.
"
25,1,Heather," Do you know how long we've waited for pajama day?! You can't force us to wear normal clothes! What is this, Nazi Germany?!
"
25,1,PC Principal,"Hey! How many times have I told you kids not to bring up Nazi Germany when you don't get something you want?!
"
25,1,Heather," You're a fascist!
"
25,1,PC Principal,"Get out!
"
25,1,Heather,"You're a fascist, and this whole school stinks of Nazis!
"
25,1,PC Principal," I can't believe the things these students say sometimes.
"
25,1,Mr. Mackey,"You better quit while you're ahead.
"
25,1,PC Principal,"What?
"
